"filename", "language", "JavaScript", "CSS", "JSON", "vue", "comment", "blank", "total"
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Companies\CompaniesEditorView.vue", "vue", 0, 0, 0, 123, 0, 9, 132
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Companies\CompaniesEraserView.vue", "vue", 0, 0, 0, 31, 0, 3, 34
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Companies\CompaniesView.vue", "vue", 0, 0, 0, 53, 0, 5, 58
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\HomeView.vue", "vue", 0, 0, 0, 292, 0, 13, 305
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Plans\PlansClientView.vue", "vue", 0, 0, 0, 62, 0, 5, 67
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Plans\PlansCreatorView.vue", "vue", 0, 0, 0, 346, 0, 15, 361
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Plans\PlansEditorView.vue", "vue", 0, 0, 0, 122, 0, 5, 127
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Plans\PlansEraserView.vue", "vue", 0, 0, 0, 45, 0, 3, 48
"c:\Users\pmpls\Desktop\codebase\ViralPlan\viralplan-creators\frontend\src\views\Plans\PlansView.vue", "vue", 0, 0, 0, 83, 0, 7, 90
"Total", "-", 1725, 54, 22, 3239, 58, 398, 5496
